Buffa,Winter,Ragnum
TCGA.56.8307.01A.11R.2296.07,-18,-33,  2
TCGA.34.5929.01A.11R.1820.07,18, 7, 4
TCGA.56.A5DS.01A.11R.A27Q.07,-20, -5,  0
TCGA.77.A5G1.01A.11R.A27Q.07,26,39,-8
TCGA.63.7020.01A.11R.1949.07,26,37,10
TCGA.90.A4EE.01A.11R.A24Z.07, -2,-15,  8
TCGA.85.8582.01A.21R.2403.07,18,23,12
TCGA.XC.AA0X.01A.32R.A405.07,-10,  7,-10
TCGA.LA.A7SW.01A.11R.A405.07,16,29, 2
TCGA.90.A4ED.01A.31R.A24Z.07,-26,-21, -6
TCGA.66.2756.01A.01R.0851.07,16,15,12
TCGA.98.7454.01A.11R.2045.07,-16, -5,  0
TCGA.21.5783.01A.41R.2187.07,32,33,22
TCGA.NK.A7XE.01A.12R.A405.07,22,25, 6
TCGA.22.1017.01A.01R.0692.07,26,15, 4
TCGA.18.3417.01A.01R.1443.07,30,33,14
TCGA.34.5231.01A.21R.1820.07,14,29,14
TCGA.33.AASL.01A.11R.A405.07,24,41,14
TCGA.94.8035.01A.11R.2247.07,26,43,14
TCGA.77.A5GF.01A.21R.A27Q.07, 8,19, 6
TCGA.56.7580.01A.11R.2045.07,24,29,12
TCGA.22.1000.01A.01R.A32Z.07, -4,  9,-14
TCGA.39.5011.01A.01R.1443.07,16,11, 8
TCGA.77.7465.01A.11R.2045.07, 2,-1,10
TCGA.85.8048.01A.11R.2247.07,-22,-31, -2
TCGA.18.5595.01A.01R.1635.07,28,31,20
TCGA.85.8288.01A.11R.2296.07,10, 7,14
TCGA.66.2790.01A.01R.0980.07,24,17,22
TCGA.18.4083.01A.01R.1100.07,18,17, 6
TCGA.60.2707.01A.01R.0851.07,16,43,16
TCGA.96.A4JK.01A.11R.A24Z.07,20,19,12
TCGA.56.8304.01A.11R.2326.07,40,51,12
TCGA.22.1011.01A.01R.0692.07,28,33, 8
TCGA.56.7221.01A.11R.2045.07,14,35,10
TCGA.43.7656.01A.11R.2125.07, 2,-7,12
TCGA.63.A5ML.01A.31R.A27Q.07, 2,-1,12
TCGA.56.6545.01A.11R.1820.07,14,25,10
TCGA.56.7579.01A.11R.2045.07,-2,11, 6
TCGA.77.7338.01A.11R.2045.07, 0,17,-6
TCGA.46.3769.01A.01R.0980.07,16, 1, 0
TCGA.94.7033.01A.11R.1949.07,30,31, 4
TCGA.22.5479.01A.31R.1949.07,20,23,12
TCGA.63.A5MH.01A.12R.A27Q.07,22,23,14
TCGA.94.8490.01A.11R.2326.07, 6,31,12
TCGA.58.8391.01A.11R.2326.07,14,35,14
TCGA.85.A5B5.01A.21R.A26W.07,-6,-1, 2
TCGA.63.A5MB.01A.11R.A26W.07,12,15,16
TCGA.60.2713.01A.01R.0851.07,30,35, 6
TCGA.56.A4BX.01A.11R.A24H.07,0,5,4
TCGA.33.4533.01A.01R.1201.07,16,21,14
TCGA.68.A59J.01A.21R.A26W.07,14,23, 8
TCGA.46.3766.01A.01R.0980.07,-18,-17,-10
TCGA.66.2780.01A.01R.0851.07,36,37, 8
TCGA.66.2793.01A.01R.1201.07, 2,13, 4
TCGA.22.1002.01A.01R.0692.07,-16, -5, -2
TCGA.66.2785.01A.01R.0851.07,16,25, 6
TCGA.43.A56U.01A.11R.A26W.07,-12,-13,-10
TCGA.98.8020.01A.11R.2247.07,22,39, 2
TCGA.58.8393.01A.11R.2326.07, 0,19, 2
TCGA.56.A62T.01A.11R.A405.07,16,27, 4
TCGA.NC.A5HL.01A.11R.A26W.07,18,11,14
TCGA.56.5897.01A.11R.1635.07,16,21,10
TCGA.56.7823.01B.11R.2247.07,18,41,12
TCGA.58.8387.01A.11R.2296.07,36,17,16
TCGA.77.6845.01A.11R.1949.07,26,39,18
TCGA.52.7622.01A.11R.2125.07,-14, 15,  4
TCGA.77.8156.01A.11R.2247.07,14,13,14
TCGA.77.A5G8.01B.11R.A27Q.07,24,39,18
TCGA.66.2781.01A.01R.0851.07,30,35,16
TCGA.85.A510.01A.11R.A26W.07,  2,-23,  6
TCGA.21.5787.01A.01R.1635.07,12,15,10
TCGA.77.8146.01A.11R.2247.07, 0,37,14
TCGA.O2.A52S.01A.11R.A262.07,10, 7,18
TCGA.77.7138.01A.41R.2045.07,26,45,12
TCGA.33.4583.01A.01R.1443.07,28,31,18
TCGA.85.A4JC.01A.11R.A24Z.07,24,37, 8
TCGA.22.4596.01A.01R.1201.07,  0, -9,-12
TCGA.85.7710.01A.11R.2125.07,14,35, 8
TCGA.77.A5G7.01B.11R.A27Q.07,32,21,10
TCGA.22.5491.01A.01R.1635.07,22,27, 4
TCGA.77.8136.01A.11R.2247.07,24,31,14
TCGA.22.5482.01A.01R.1635.07,38,41,16
TCGA.60.2712.01A.01R.0851.07, 8,-5,-2
TCGA.39.5022.01A.21R.1820.07,18, 7,10
TCGA.66.2755.01A.01R.0851.07,22,11,16
TCGA.77.A5FZ.01A.31R.A27Q.07,-34,-53,-14
TCGA.39.5034.01A.01R.1443.07,10,-7,16
TCGA.56.8309.01A.11R.2296.07,-20,-29,-10
TCGA.22.5473.01A.01R.1635.07,34,39,18
TCGA.39.5030.01A.01R.1443.07,-10,-23,  6
TCGA.22.0940.01A.01R.0692.07,16,21,14
TCGA.70.6723.01A.11R.1820.07,18,25,22
TCGA.34.8454.01A.11R.2326.07, 6,13, 8
TCGA.66.2778.01A.02R.0851.07,34,49,10
TCGA.63.A5MU.01A.11R.A26W.07,10,19,16
TCGA.56.7582.01A.11R.2045.07,16,23, 8
TCGA.63.A5MY.01A.11R.A26W.07,30,13,18
TCGA.98.A53C.01A.11R.A262.07,-36,-47,-18
TCGA.85.8355.01A.11R.2296.07,-20,-21,-10
TCGA.77.A5G3.01A.31R.A27Q.07,14,17, 6
TCGA.90.7766.01A.21R.2125.07,-10,-23,  6
TCGA.22.1005.01A.01R.0692.07,-22,-39,-14
TCGA.O2.A52W.01A.11R.A26W.07,24,17, 6
TCGA.52.7812.01A.11R.2125.07,24,25,20
TCGA.66.2734.01A.01R.0980.07,40,49,10
TCGA.66.2788.01A.01R.0980.07,30,47,16
TCGA.22.5485.01A.01R.1635.07,32,33,14
TCGA.56.8503.01A.11R.2403.07,12, 9,12
TCGA.85.8664.01A.11R.2403.07,24,19,16
TCGA.66.2777.01A.01R.1201.07,22,47,16
TCGA.39.5029.01A.01R.1443.07,30,35, 6
TCGA.56.5898.01A.11R.1635.07,  6, 33,-14
TCGA.39.5037.01A.01R.1443.07,32,39,16
TCGA.66.2791.01A.01R.0980.07,18,13,14
TCGA.34.2596.01A.01R.0851.07,  2,-11, 12
TCGA.22.5477.01A.01R.1635.07, 8,-1,16
TCGA.51.4079.01A.01R.1100.07,38,53,16
TCGA.22.5483.01A.01R.1820.07,14,13,18
TCGA.96.A4JL.01A.11R.A24Z.07,-32,-35,  0
TCGA.39.5035.01A.01R.1443.07,26, 5, 0
TCGA.85.8580.01A.31R.2403.07,26,13,16
TCGA.85.7696.01A.11R.2125.07, 0, 5,14
TCGA.MF.A522.01A.11R.A262.07,22,29,12
TCGA.NC.A5HN.01A.11R.A26W.07,40,33,16
TCGA.NK.A5D1.01A.11R.A26W.07,34,31,16
TCGA.18.3416.01A.01R.0980.07,22,17,16
TCGA.77.7142.01A.11R.2045.07, 6, 7,20
TCGA.22.5472.01A.01R.1635.07,-28, -5,-14
TCGA.33.4582.01A.01R.1443.07,34,25,20
TCGA.56.8622.01A.11R.2403.07,  2, 13,-12
TCGA.63.A5M9.01A.11R.A26W.07, 8, 7,14
TCGA.22.4605.01A.21R.2125.07, 2,27,-8
TCGA.6A.AB49.01A.12R.A405.07,42,45,16
TCGA.66.2767.01A.01R.0851.07,-4,-3, 2
TCGA.34.5232.01A.21R.1820.07,16, 3,12
TCGA.60.2723.01A.01R.0851.07,40,39,20
TCGA.92.8063.01A.11R.2247.07,28,45,18
TCGA.56.A5DR.01A.11R.A27Q.07,20,29,18
TCGA.77.8008.01A.21R.2187.07, -2,  7,-10
TCGA.18.3411.01A.01R.0980.07,24,31,14
TCGA.98.8021.01A.11R.2247.07,-2, 5, 2
TCGA.85.8070.01A.11R.2247.07,-2,-7, 8
TCGA.66.2763.01A.01R.0851.07,26,29,14
TCGA.85.6798.01A.11R.1949.07,30,39,10
TCGA.85.7699.01A.11R.2125.07, 4, 3,16
TCGA.92.7340.01A.21R.2045.07, 8,17, 8
TCGA.46.6025.01A.11R.1820.07,36,47, 6
TCGA.33.6737.01A.11R.1820.07,32,29,12
TCGA.79.5596.01A.31R.1949.07,20,37, 6
TCGA.18.4086.01A.01R.1100.07,34,37,14
TCGA.58.A46M.01A.11R.A24H.07,-6, 1,18
TCGA.18.5592.01A.01R.1635.07,10,17,18
TCGA.85.A512.01A.11R.A26W.07,12,21,18
TCGA.52.7810.01A.11R.2125.07,34,41, 6
TCGA.96.8169.01A.11R.2296.07, -6, 19,-12
TCGA.68.8250.01A.11R.2296.07,18,13, 4
TCGA.NC.A5HF.01A.11R.A26W.07,32,43,10
TCGA.43.5668.01A.01R.1635.07,-12,-21,  2
TCGA.66.2792.01A.01R.0980.07,28,37,16
TCGA.85.8277.01A.11R.2296.07,18,25,14
TCGA.22.4594.01A.01R.1201.07,-10,-17,  8
TCGA.77.8148.01A.11R.2247.07,30,31,16
TCGA.NC.A5HD.01A.11R.A26W.07,36,27,16
TCGA.60.2725.01A.01R.1201.07, 4,-3, 6
TCGA.56.8629.01A.11R.2403.07,10,23,-2
TCGA.66.2727.01A.01R.0980.07,14, 9,14
TCGA.34.2600.01A.01R.0851.07,-16,-21, -6
TCGA.51.4080.01A.01R.1100.07, -2,-13,  8
TCGA.66.2787.01A.01R.0980.07, 2, 9,14
TCGA.63.A5MP.01A.11R.A26W.07,-8,-3,10
TCGA.94.A5I6.01A.21R.A27Q.07,36,29,16
TCGA.85.8052.01A.11R.2247.07,24,29,12
TCGA.98.8023.01A.11R.2247.07,-6,-5, 8
TCGA.85.7950.01A.11R.2187.07, 18,-13, 10
TCGA.46.3765.01A.01R.0980.07,28,33, 8
TCGA.39.5019.01A.01R.1820.07,32,51,24
TCGA.60.2722.01A.01R.0851.07,18,31,16
TCGA.22.4595.01A.01R.1201.07,22,27,14
TCGA.22.5492.01A.01R.1635.07,10, 3,12
TCGA.L3.A524.01A.11R.A262.07,22,19,16
TCGA.98.A53H.01A.12R.A262.07,-36,-27,-16
TCGA.22.5471.01A.01R.1635.07,14,33,14
TCGA.NK.A5CX.01A.11R.A26W.07,26,33,-4
TCGA.63.A5MR.01A.31R.A27Q.07,34,59,12
TCGA.18.3412.01A.01R.0980.07,26,27,14
TCGA.77.6844.01A.11R.1949.07,12,15,16
TCGA.68.8251.01A.11R.2296.07,18, 3,12
TCGA.85.8354.01A.31R.2326.07,40,45,18
TCGA.33.4532.01A.01R.1201.07,36,39,18
TCGA.21.5784.01A.01R.1635.07,  6, 17,-10
TCGA.56.8623.01A.11R.A28V.07,-36,-37,-20
TCGA.98.A53J.01A.11R.A26W.07,12,23,-6
TCGA.21.A5DI.01A.31R.A26W.07,36,45, 6
TCGA.60.2696.01A.01R.0851.07,14,31, 6
TCGA.60.2706.01A.01R.0851.07, 6,-1,16
TCGA.21.1082.01A.01R.0692.07, 2,-5,14
TCGA.85.8351.01A.11R.2296.07,12,41,10
TCGA.66.2800.01A.01R.1201.07,32,37,12
TCGA.98.A53D.01A.32R.A262.07,-26,-19,-24
TCGA.77.8144.01A.11R.2247.07,34,47,16
TCGA.63.A5MV.01A.21R.A26W.07,-8, 5,-8
TCGA.21.1077.01A.01R.0692.07,26,33,10
TCGA.85.6560.01A.11R.1820.07,14,-1,18
TCGA.43.A56V.01A.11R.A26W.07,28,39,14
TCGA.33.A4WN.01A.11R.A262.07,14, 7,14
TCGA.43.2576.01A.01R.A32Z.07, -2, -1,-12
TCGA.66.2758.01A.02R.0851.07,20,19,12
TCGA.21.5782.01A.01R.1635.07,38,45,16
TCGA.85.A50M.01A.21R.A262.07, 8,17,-2
TCGA.37.4141.01A.02R.1100.07, 8, 9,18
TCGA.18.3421.01A.01R.0980.07,38,25, 8
TCGA.21.1070.01A.01R.0692.07,12,27,10
TCGA.56.8628.01A.11R.2403.07,-18, -9,-18
TCGA.34.5239.01A.21R.1820.07,-28,-19,  2
TCGA.68.7757.01B.11R.2296.07,-20, -7,-14
TCGA.66.2757.01A.01R.0851.07, 0,-3,10
TCGA.60.2698.01A.01R.0851.07,30,35, 6
TCGA.22.4601.01A.01R.1443.07,10, 3, 2
TCGA.21.1071.01A.01R.0692.07,24,27,18
TCGA.85.8072.01A.31R.2247.07,-4, 3,10
TCGA.56.A4ZK.01A.11R.A262.07,10,31, 2
TCGA.37.A5EN.01A.21R.A26W.07,-6,-1, 6
TCGA.34.5927.01A.11R.1820.07, 4,-5,10
TCGA.77.A5GA.01A.11R.A27Q.07,26,23,18
TCGA.66.2769.01A.02R.0851.07,28,23,16
TCGA.56.8625.01A.11R.2403.07, 0,-3,10
TCGA.66.2771.01A.01R.0980.07,30,17,14
TCGA.66.2783.01A.01R.1201.07,28,41,16
TCGA.58.A46K.01A.11R.A24H.07, 4,21,14
TCGA.56.8626.01A.11R.2403.07,-2,19,-4
TCGA.37.4129.01A.01R.1100.07,-28,-41,-24
TCGA.77.7337.01A.21R.2045.07,26,37,12
TCGA.60.2721.01A.01R.0851.07,-28,-17, -2
TCGA.66.2759.01A.01R.0851.07,38,29,20
TCGA.NC.A5HE.01A.11R.A26W.07,10,-1,10
TCGA.43.8115.01A.11R.2247.07,-2, 5,10
TCGA.34.5236.01A.21R.1820.07,32,49,10
TCGA.21.1075.01A.01R.0692.07,36,31,20
TCGA.66.2766.01A.01R.0851.07,28,25,22
TCGA.60.2715.01A.01R.0851.07,-22, -7,-12
TCGA.77.A5G6.01A.11R.A27Q.07,22,19,14
TCGA.98.A53B.01A.11R.A262.07, 0, 7,10
TCGA.33.4587.01A.11R.2125.07,24, 1,16
TCGA.34.5234.01A.01R.1635.07, 2,-1,-6
TCGA.51.4081.01A.01R.1100.07, 0,29,14
TCGA.85.8049.01A.11R.2247.07,-16, -7, -6
TCGA.O2.A52V.01A.31R.A262.07,26,29,14
TCGA.34.7107.01A.11R.1949.07,2,3,8
TCGA.18.3410.01A.01R.0980.07, 10,-11, 16
TCGA.33.6738.01A.11R.1949.07,10, 9,20
TCGA.56.7731.01A.11R.2125.07, 10, 19,-10
TCGA.18.3407.01A.01R.0980.07, 2,27,-2
TCGA.56.8201.01A.11R.2247.07,4,5,2
TCGA.85.8350.01A.11R.2296.07,12,13, 4
TCGA.NK.A5CR.01A.11R.A26W.07,24,31, 8
TCGA.34.5240.01A.01R.1443.07,20,11,10
TCGA.77.A5GH.01A.11R.A27Q.07, -6,-19,  4
TCGA.18.3409.01A.01R.0980.07,12,11,-4
TCGA.58.8388.01A.11R.2326.07,-22,-25,  4
TCGA.33.4538.01A.01R.1201.07,12,17,16
TCGA.66.2737.01A.01R.0980.07,30,29,24
TCGA.60.2697.01A.11R.2125.07,-24,-33, -6
TCGA.60.2710.01A.01R.0851.07, 4,-5,14
TCGA.34.5928.01A.11R.1820.07,28,27, 0
TCGA.60.2708.01A.01R.0851.07,40,53,10
TCGA.43.6647.01A.11R.1820.07, 8,17, 4
TCGA.39.5016.01A.01R.1443.07,-2,-1, 6
TCGA.63.A5MN.01A.22R.A27Q.07, 2,13,-6
TCGA.56.A4ZJ.01A.11R.A262.07,-14,  5,-10
TCGA.18.3419.01A.01R.0980.07,16,19,16
TCGA.77.8133.01A.12R.2247.07,-12,-15,  8
TCGA.85.8666.01A.11R.2403.07,40,47,16
TCGA.94.8491.01A.11R.2326.07, -8,  7,-10
TCGA.92.8065.01A.11R.2247.07, -8, -3,-14
TCGA.22.1012.01A.01R.0692.07,40,27,22
TCGA.34.A5IX.01A.12R.A27Q.07,24,19,10
TCGA.98.A538.01A.11R.A262.07,24,33,14
TCGA.56.1622.01A.01R.0692.07,14,19,12
TCGA.22.A5C4.01A.12R.A27Q.07,24,19,16
TCGA.85.A511.01A.21R.A262.07,18,19,24
TCGA.43.2578.01A.01R.0851.07,24,25,14
TCGA.43.8118.01A.11R.2403.07,10,17,16
TCGA.90.6837.01A.11R.1949.07,26,25,10
TCGA.77.7463.01A.11R.2045.07,32,45,18
TCGA.63.A5MI.01A.12R.A27Q.07,30,25,18
TCGA.37.4132.01A.01R.1100.07,22,13,10
TCGA.18.3415.01A.01R.0980.07,32,41,18
TCGA.37.4130.01A.01R.1100.07,  4,-19, 10
TCGA.77.8138.01A.11R.2247.07,16,23,-2
TCGA.18.3414.01A.01R.0980.07,16,21,12
TCGA.85.7697.01A.11R.2125.07,14,39, 6
TCGA.33.AASD.01A.11R.A405.07,32,47,12
TCGA.33.4547.01A.01R.1201.07,16, 9,10
TCGA.56.8308.01A.11R.2296.07,-2,29,-6
TCGA.33.AASB.01A.11R.A405.07,36,35, 8
TCGA.77.8150.01A.11R.2247.07,-2, 3,10
TCGA.NC.A5HO.01A.11R.A26W.07, 2,19, 0
TCGA.85.8071.01A.11R.2247.07, 6,25,10
TCGA.NC.A5HJ.01A.11R.A26W.07,  0,-25, 10
TCGA.43.8116.01A.11R.2247.07, 0,-5, 6
TCGA.94.7557.01A.11R.2125.07,32,19,12
TCGA.98.A53I.01A.31R.A262.07,-12,-19,  4
TCGA.56.7730.01A.11R.2125.07,-2,21,12
TCGA.60.2704.01A.11R.2045.07,-4, 7, 6
TCGA.66.2782.01A.01R.0851.07,24,29,10
TCGA.37.3792.01A.01R.0980.07,14,19,16
TCGA.NC.A5HH.01A.11R.A26W.07,20,13,16
TCGA.22.5474.01A.01R.1635.07, 8, 7,16
TCGA.39.5021.01A.01R.1443.07,26,17,20
TCGA.66.2753.01A.01R.0980.07,30,33,18
TCGA.85.A4QR.01A.11R.A24Z.07,28,11,18
TCGA.63.7023.01A.11R.1949.07, 6,-7,12
TCGA.66.2773.01A.01R.1201.07,16,23, 8
TCGA.70.6722.01A.11R.1820.07,16,23,14
TCGA.22.5489.01A.01R.1635.07,  0,-15,  8
TCGA.77.7141.01A.11R.2045.07, 4,-3,14
TCGA.43.A474.01A.11R.A24H.07,30,41,14
TCGA.77.8143.01A.11R.2247.07,30,23,18
TCGA.58.A46J.01A.11R.A24H.07,36,27,12
TCGA.60.2714.01A.01R.0851.07,26,11,-2
TCGA.43.7657.01A.31R.2125.07,14, 7, 8
TCGA.58.A46N.01A.11R.A24H.07,20,37,12
TCGA.60.2709.01A.21R.1820.07, -6,-15, 10
TCGA.22.5480.01A.01R.1635.07, -6,-35,  4
TCGA.63.A5MS.01A.11R.A26W.07,-12, -9, -6
TCGA.94.7943.01A.11R.2187.07,-10,-17,  6
TCGA.56.8504.01A.11R.2403.07,26,37,14
TCGA.37.3783.01A.01R.1201.07,30,43,12
TCGA.37.4135.01A.01R.1100.07,28,13, 8
TCGA.22.4599.01A.01R.1443.07,28,31,18
TCGA.85.A53L.01A.21R.A26W.07,40,43,14
TCGA.33.4566.01A.01R.1443.07,16,13, 8
TCGA.39.5024.01A.21R.1820.07,36,39,18
TCGA.56.A4BW.01A.11R.A24H.07,14,23, 8
TCGA.63.7021.01A.11R.1949.07,20,27,10
TCGA.90.A59Q.01A.11R.A26W.07,-14, -5, -2
TCGA.60.2719.01A.01R.0851.07,20, 9,10
TCGA.77.8007.01A.11R.2187.07,26,29,10
TCGA.34.8456.01A.21R.2326.07, 6,25,10
TCGA.60.2726.01A.01R.0851.07,14,13,10
TCGA.34.2608.01A.02R.0851.07,-18, 11, -8
TCGA.66.2786.01A.01R.0851.07,28,21,16
TCGA.22.0944.01A.01R.0692.07,36,51,18
TCGA.NC.A5HP.01A.11R.A26W.07,14,21,12
TCGA.66.2744.01A.01R.0980.07,24,35,20
